epoch,accuracy,loss,val_accuracy,val_loss
0,0.371713250875473,1.3310874700546265,0.43515849113464355,1.2781206369400024
1,0.6432327628135681,0.9853339791297913,0.6541786789894104,0.9327089786529541
2,0.7902020215988159,0.5783434510231018,0.7031700015068054,0.7775591611862183
3,0.8519235849380493,0.40821075439453125,0.729106605052948,0.7779953479766846
4,0.8831995725631714,0.3240352272987366,0.680115282535553,0.8170740604400635
5,0.9089399576187134,0.2632417678833008,0.7089337110519409,0.8601140379905701
6,0.9288679957389832,0.21934860944747925,0.6829971075057983,0.9204971194267273
7,0.9446443319320679,0.1814664602279663,0.6974063515663147,1.0319243669509888
8,0.9543315768241882,0.1573168784379959,0.6887608170509338,1.0306748151779175
9,0.9587600231170654,0.13562394678592682,0.6772334575653076,1.1064574718475342
10,0.9665098190307617,0.12011650204658508,0.7031700015068054,1.1731822490692139
11,0.9690008163452148,0.10894554853439331,0.6743515729904175,1.243430495262146
12,0.9703847169876099,0.0986296683549881,0.6974063515663147,1.2542778253555298
13,0.9709382653236389,0.09716373682022095,0.6887608170509338,1.2824829816818237
14,0.9706615209579468,0.09513667970895767,0.6916426420211792,1.3136612176895142
15,0.9748131632804871,0.081202931702137,0.6858789920806885,1.3778715133666992
16,0.975643515586853,0.08176599442958832,0.6714697480201721,1.4020371437072754
17,0.9731525182723999,0.07922731339931488,0.680115282535553,1.4235550165176392
18,0.9753667116165161,0.07359705120325089,0.6743515729904175,1.506922960281372
19,0.974259614944458,0.07121288776397705,0.7060518860816956,1.4739887714385986
20,0.976473867893219,0.07138585299253464,0.6858789920806885,1.5366977453231812
21,0.9761970639228821,0.06690645962953568,0.6974063515663147,1.5201544761657715
22,0.977027416229248,0.06273794174194336,0.6743515729904175,1.5793622732162476
23,0.9775809645652771,0.062343403697013855,0.6685879230499268,1.5995599031448364
24,0.9778577089309692,0.05916442722082138,0.6685879230499268,1.647072196006775
